NFL Week 1 Point Spreads 2016 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
SEA 3 @ LA 9,9/18/16,-7,-5.5,LA,7,5.5,LA
IND 20 @ DEN 34,9/18/16,4,5,DEN,-4,-5,DEN
JAC 14 @ SD 38,9/18/16,2.5,3,SD,-2.5,-3,SD
ATL 35 @ OAK 28,9/18/16,7,4,ATL,-7,-4,ATL
GB 14 @ MIN 17,9/18/16,-2.5,-1.5,MIN,2.5,1.5,MIN
PHI 29 @ CHI 14,9/19/16,2.5,3,PHI,-2.5,-3,PHI
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 2 Point Spreads 2015 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
DEN 31 @ KC 24,9/17/15,2.5,3,DEN,-2.5,-3,DEN
DET 16 @ MIN 26,9/20/15,3,2.5,MIN,-3,-2.5,MIN
ARI 48 @ CHI 23,9/20/15,-1.5,-2,ARI,1.5,2,ARI
TEN 14 @ CLE 28,9/20/15,2.5,1,CLE,-2.5,-1,CLE
NE 40 @ BUF 32,9/20/15,0,2,NE,0,-2,NE
HOU 17 @ CAR 24,9/20/15,4,3,CAR,-4,-3,CAR
SF 18 @ PIT 43,9/20/15,6.5,6,PIT,-6.5,-6,PIT
SD 19 @ CIN 24,9/20/15,3.5,3.5,CIN,-3.5,-3.5,CIN
STL 10 @ WAS 24,9/20/15,-3,-3,WAS,3,3,WAS
ATL 24 @ NYG 20,9/20/15,2,2,ATL,-2,-2,ATL
TB 26 @ NO 19,9/20/15,10.5,9.5,TB,-10.5,-9.5,TB
BAL 33 @ OAK 37,9/20/15,-6,-6,OAK,6,6,OAK
MIA 20 @ JAC 23,9/20/15,-6,-5,JAC,6,5,JAC
DAL 20 @ PHI 10,9/20/15,5,7,DAL,-5,-7,DAL
SEA 17 @ GB 27,9/20/15,3,3.5,GB,-3,-3.5,GB
NYJ 20 @ IND 7,9/21/15,7,6,NYJ,-7,-6,NYJ
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 2 Point Spreads 2014 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
PIT 6 @ BAL 26,9/11/14,3,2.5,BAL,-3,-2.5,BAL
MIA 10 @ BUF 29,9/14/14,1,1,BUF,-1,-1,BUF
JAC 10 @ WAS 41,9/14/14,6.5,5,WAS,-6.5,-5,WAS
DAL 26 @ TEN 10,9/14/14,3.5,3,DAL,-3.5,-3,DAL
ARI 25 @ NYG 14,9/14/14,1.5,1,ARI,-1.5,-1,ARI
NE 30 @ MIN 7,9/14/14,-3,-3.5,NE,3,3.5,NE
NO 24 @ CLE 26,9/14/14,-6,-4.5,CLE,6,4.5,CLE
ATL 10 @ CIN 24,9/14/14,5.5,5.5,CIN,-5.5,-5.5,CIN
DET 7 @ CAR 24,9/14/14,3,1,CAR,-3,-1,CAR
STL 19 @ TB 17,9/14/14,3.5,4,STL,-3.5,-4,STL
SEA 21 @ SD 30,9/14/14,-4,-4.5,SD,4,4.5,SD
HOU 30 @ OAK 14,9/14/14,-2.5,-3,HOU,2.5,3,HOU
NYJ 24 @ GB 31,9/14/14,7.5,7,NYJ,-7.5,-7,PUSH
KC 17 @ DEN 24,9/14/14,12,13,KC,-12,-13,KC
CHI 28 @ SF 20,9/14/14,6.5,7,CHI,-6.5,-7,CHI
PHI 30 @ IND 27,9/15/14,3,3,PHI,-3,-3,PHI
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 2 Point Spreads 2013 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
NYJ 10 @ NE 13,9/12/13,11.5,10.5,NYJ,-11.5,-10.5,NYJ
STL 24 @ ATL 31,9/15/13,6,4,ATL,-6,-4,ATL
SD 33 @ PHI 30,9/15/13,9.5,7.5,SD,-9.5,-7.5,SD
DAL 16 @ KC 17,9/15/13,1,3,PUSH,-1,-3,DAL
MIA 24 @ IND 20,9/15/13,3,1,MIA,-3,-1,MIA
TEN 24 @ HOU 30,9/15/13,10,7.5,TEN,-10,-7.5,TEN
WAS 20 @ GB 38,9/15/13,9.5,9,GB,-9.5,-9,GB
CLE 6 @ BAL 14,9/15/13,6.5,5.5,BAL,-6.5,-5.5,BAL
CAR 23 @ BUF 24,9/15/13,-3,-3.5,BUF,3,3.5,BUF
MIN 30 @ CHI 31,9/15/13,6.5,6,MIN,-6.5,-6,MIN
NO 16 @ TB 14,9/15/13,-3,-3,TB,3,3,TB
DET 21 @ ARI 25,9/15/13,0,-1,ARI,0,1,ARI
JAC 9 @ OAK 19,9/15/13,6,3.5,OAK,-6,-3.5,OAK
DEN 41 @ NYG 23,9/15/13,-5.5,-3.5,DEN,5.5,3.5,DEN
SF 3 @ SEA 29,9/15/13,3,3,SEA,-3,-3,SEA
PIT 10 @ CIN 20,9/16/13,6,7,CIN,-6,-7,CIN
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 2 Point Spreads 2012 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
CHI 10 @ GB 23,9/13/12,5,5,GB,-5,-5,GB
KC 17 @ BUF 35,9/16/12,3.5,3,BUF,-3.5,-3,BUF
BAL 23 @ PHI 24,9/16/12,1,3,PUSH,-1,-3,BAL
TB 34 @ NYG 41,9/16/12,9,9,TB,-9,-9,TB
ARI 20 @ NE 18,9/16/12,14.5,13,ARI,-14.5,-13,ARI
HOU 27 @ JAC 7,9/16/12,-9,-6.5,HOU,9,6.5,HOU
MIN 20 @ IND 23,9/16/12,0,-3,IND,0,3,IND
CLE 27 @ CIN 34,9/16/12,8,7,CLE,-8,-7,PUSH
NO 27 @ CAR 35,9/16/12,-2.5,-3,CAR,2.5,3,CAR
OAK 13 @ MIA 35,9/16/12,-1,-1,MIA,1,1,MIA
WAS 28 @ STL 31,9/16/12,-3,-3.5,STL,3,3.5,STL
DAL 7 @ SEA 27,9/16/12,-2.5,-3,SEA,2.5,3,SEA
TEN 10 @ SD 38,9/16/12,7,6.5,SD,-7,-6.5,SD
NYJ 10 @ PIT 27,9/16/12,7,4.5,PIT,-7,-4.5,PIT
DET 19 @ SF 27,9/16/12,7,7,SF,-7,-7,SF
DEN 21 @ ATL 27,9/17/12,3.5,3,ATL,-3.5,-3,ATL
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 2 Point Spreads 2011 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
CHI 13 @ NO 30,9/18/11,6.5,5,NO,-6.5,-5,NO
KC 3 @ DET 48,9/18/11,8.5,8,DET,-8.5,-8,DET
JAC 3 @ NYJ 32,9/18/11,10,9,NYJ,-10,-9,NYJ
OAK 35 @ BUF 38,9/18/11,4,4,OAK,-4,-4,OAK
ARI 21 @ WAS 22,9/18/11,4.5,5,ARI,-4.5,-5,ARI
BAL 13 @ TEN 26,9/18/11,-6,-6,TEN,6,6,TEN
SEA 0 @ PIT 24,9/18/11,13.5,14,PIT,-13.5,-14,PIT
GB 30 @ CAR 23,9/18/11,-10.5,-11,CAR,10.5,11,CAR
TB 24 @ MIN 20,9/18/11,3,0,TB,-3,0,TB
CLE 27 @ IND 19,9/18/11,-3,-2,CLE,3,2,CLE
DAL 27 @ SF 24,9/18/11,-3,-3,PUSH,3,3,PUSH
HOU 23 @ MIA 13,9/18/11,-3,-3,HOU,3,3,HOU
SD 21 @ NE 35,9/18/11,6.5,6,NE,-6.5,-6,NE
CIN 22 @ DEN 24,9/18/11,6,3,CIN,-6,-3,CIN
PHI 31 @ ATL 35,9/18/11,-2.5,-3,ATL,2.5,3,ATL
STL 16 @ NYG 28,9/19/11,3.5,7,NYG,-3.5,-7,NYG
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 2 Point Spreads 2010 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
KC 16 @ CLE 14,9/19/10,2.5,3,KC,-2.5,-3,KC
BUF 7 @ GB 34,9/19/10,14,13,GB,-14,-13,GB
BAL 10 @ CIN 15,9/19/10,0,-3,CIN,0,3,CIN
PIT 19 @ TEN 11,9/19/10,5.5,6,PIT,-5.5,-6,PIT
PHI 35 @ DET 32,9/19/10,-3,-7,PUSH,3,7,DET
CHI 27 @ DAL 20,9/19/10,9.5,7,CHI,-9.5,-7,CHI
TB 20 @ CAR 7,9/19/10,3,4,TB,-3,-4,TB
ARI 7 @ ATL 41,9/19/10,7.5,7,ATL,-7.5,-7,ATL
MIA 14 @ MIN 10,9/19/10,5.5,6,MIA,-5.5,-6,MIA
STL 14 @ OAK 16,9/19/10,4,3,STL,-4,-3,STL
SEA 14 @ DEN 31,9/19/10,3.5,3,DEN,-3.5,-3,DEN
HOU 30 @ WAS 27,9/19/10,-2.5,-3,HOU,2.5,3,PUSH
JAC 13 @ SD 38,9/19/10,9.5,7,SD,-9.5,-7,SD
NE 14 @ NYJ 28,9/19/10,0,-3,NYJ,0,3,NYJ
NYG 14 @ IND 38,9/19/10,5.5,4,IND,-5.5,-4,IND
NO 25 @ SF 22,9/20/10,-4.5,-5,SF,4.5,5,SF
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 2 Point Spreads 2009 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
OAK 13 @ KC 10,9/20/09,3.5,3,OAK,-3.5,-3,OAK
HOU 34 @ TEN 31,9/20/09,8,7,HOU,-8,-7,HOU
NE 9 @ NYJ 16,9/20/09,-5,-3,NYJ,5,3,NYJ
CIN 31 @ GB 24,9/20/09,9,10,CIN,-9,-10,CIN
MIN 27 @ DET 13,9/20/09,-10.5,-10,MIN,10.5,10,MIN
NO 48 @ PHI 22,9/20/09,0,0,NO,0,0,NO
CAR 20 @ ATL 28,9/20/09,7,6,ATL,-7,-6,ATL
STL 7 @ WAS 9,9/20/09,10,10,STL,-10,-10,STL
ARI 31 @ JAC 17,9/20/09,4.5,3,ARI,-4.5,-3,ARI
SEA 10 @ SF 23,9/20/09,0,2,SF,0,-2,SF
TB 20 @ BUF 33,9/20/09,4.5,6,BUF,-4.5,-6,BUF
CLE 6 @ DEN 27,9/20/09,3,3,DEN,-3,-3,DEN
BAL 31 @ SD 26,9/20/09,3.5,3,BAL,-3.5,-3,BAL
PIT 14 @ CHI 17,9/20/09,-3,-3,CHI,3,3,CHI
NYG 33 @ DAL 31,9/20/09,2.5,3,NYG,-2.5,-3,NYG
IND 27 @ MIA 23,9/21/09,-3,-3,IND,3,3,IND
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 2 Point Spreads 2008 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
OAK 23 @ KC 8,9/14/08,4,3,OAK,-4,-3,OAK
TEN 24 @ CIN 7,9/14/08,0,-1,TEN,0,1,TEN
IND 18 @ MIN 15,9/14/08,-1,0,IND,1,0,IND
